meter_id,timestamp,power,voltage,current,frequency,energy
1000000837,2026-01-05 22:56:21,1135.69,225.97,5.03,49.75,0.0946
1000000838,2026-01-05 22:56:21,1095.19,220.66,4.96,49.97,0.0913
1000000839,2026-01-05 22:56:21,962.7,220.61,4.36,49.91,0.0802
1000000840,2026-01-05 22:56:21,819.16,238.46,3.44,50.34,0.0683
1000000841,2026-01-05 22:56:21,1441.2,221.52,6.51,49.88,0.1201
1000000842,2026-01-05 22:56:21,878.02,220.19,3.99,50.05,0.0732
1000000843,2026-01-05 22:56:21,1044.64,227.38,4.59,49.55,0.0871
1000000844,2026-01-05 22:56:21,1004.13,224.89,4.46,49.81,0.0837
1000000845,2026-01-05 22:56:21,1013.71,224.98,4.51,50.15,0.0845
1000000846,2026-01-05 22:56:21,1117.64,238.02,4.7,50.12,0.0931
1000000847,2026-01-05 22:56:21,1051.44,238.08,4.42,49.91,0.0876
1000000848,2026-01-05 22:56:21,1014.82,220.51,4.6,50.38,0.0846
1000000849,2026-01-05 22:56:21,859.11,233.24,3.68,50.18,0.0716
1000000850,2026-01-05 22:56:21,1355.25,229.83,5.9,49.69,0.1129
1000000851,2026-01-05 22:56:21,1302.5,224.35,5.81,50.26,0.1085
1000000852,2026-01-05 22:56:21,977.01,228.17,4.28,49.93,0.0814
1000000853,2026-01-05 22:56:21,997.89,223.88,4.46,49.66,0.0832
1000000854,2026-01-05 22:56:21,1355.04,226.34,5.99,49.88,0.1129
1000000855,2026-01-05 22:56:21,1384.17,232.89,5.94,49.89,0.1153
1000000856,2026-01-05 22:56:21,1195.42,236.86,5.05,50.26,0.0996
1000000857,2026-01-05 22:56:21,1438.22,230.02,6.25,50.4,0.1199
1000000858,2026-01-05 22:56:21,1137.39,234.87,4.84,49.6,0.0948
1000000859,2026-01-05 22:56:21,997.51,224.52,4.44,49.67,0.0831
1000000860,2026-01-05 22:56:21,1041.94,220.36,4.73,49.94,0.0868
1000000861,2026-01-05 22:56:21,1129.54,221.91,5.09,49.86,0.0941
1000000862,2026-01-05 22:56:21,1013.28,223.59,4.53,50.14,0.0844
1000000863,2026-01-05 22:56:21,1143.45,221.36,5.17,49.51,0.0953
1000000864,2026-01-05 22:56:21,1176.56,237.24,4.96,49.81,0.098
1000000865,2026-01-05 22:56:21,1036.2,239.65,4.32,50.17,0.0863
1000000866,2026-01-05 22:56:21,998.53,229.5,4.35,50.05,0.0832
1000000867,2026-01-05 22:56:21,897.36,227.75,3.94,50.07,0.0748
1000000868,2026-01-05 22:56:21,959.94,221.24,4.34,49.88,0.08
1000000869,2026-01-05 22:56:21,900.35,227.4,3.96,49.55,0.075
1000000870,2026-01-05 22:56:21,843.02,221.48,3.81,50.46,0.0703
1000000871,2026-01-05 22:56:21,1174.47,223.84,5.25,49.93,0.0979
1000000872,2026-01-05 22:56:21,1185.68,238.83,4.96,50.39,0.0988
1000000873,2026-01-05 22:56:21,1479.06,239.53,6.17,49.62,0.1233
1000000874,2026-01-05 22:56:21,1170.61,221.05,5.3,49.71,0.0976
1000000875,2026-01-05 22:56:21,1209.35,223.89,5.4,49.9,0.1008
1000000876,2026-01-05 22:56:21,870.11,223.78,3.89,50.02,0.0725
1000000877,2026-01-05 22:56:21,949.52,234.64,4.05,49.91,0.0791
1000000878,2026-01-05 22:56:21,1224.59,227.23,5.39,49.96,0.102
1000000879,2026-01-05 22:56:21,1066.6,239.36,4.46,49.86,0.0889
1000000880,2026-01-05 22:56:21,1063.13,234.9,4.53,49.89,0.0886
1000000881,2026-01-05 22:56:21,1403.19,224.43,6.25,49.89,0.1169
1000000882,2026-01-05 22:56:21,864.43,228.08,3.79,50.35,0.072
1000000883,2026-01-05 22:56:21,1333.73,238.16,5.6,50.02,0.1111
1000000884,2026-01-05 22:56:21,1480.88,239.68,6.18,49.63,0.1234
1000000885,2026-01-05 22:56:21,1069.4,235.37,4.54,49.93,0.0891
1000000886,2026-01-05 22:56:21,1111.14,230.86,4.81,49.75,0.0926
1000000887,2026-01-05 22:56:21,1027.97,231.56,4.44,50.11,0.0857
1000000888,2026-01-05 22:56:21,961.66,227.41,4.23,49.74,0.0801
1000000889,2026-01-05 22:56:21,876.17,225.58,3.88,50.15,0.073
1000000890,2026-01-05 22:56:21,979.16,225.18,4.35,49.82,0.0816
1000000891,2026-01-05 22:56:21,1341.77,239.58,5.6,49.93,0.1118
1000000892,2026-01-05 22:56:21,1482.62,222.74,6.66,49.74,0.1236
1000000893,2026-01-05 22:56:21,1002.56,239.28,4.19,50.33,0.0835
1000000894,2026-01-05 22:56:21,1370.27,230.88,5.94,50.34,0.1142
1000000895,2026-01-05 22:56:21,999.32,225.83,4.43,49.94,0.0833
1000000896,2026-01-05 22:56:21,1003.0,220.45,4.55,50.1,0.0836
1000000897,2026-01-05 22:56:21,840.02,238.21,3.53,50.2,0.07
1000000898,2026-01-05 22:56:21,1126.99,229.05,4.92,49.9,0.0939
1000000899,2026-01-05 22:56:21,1438.19,223.21,6.44,49.51,0.1198
1000000900,2026-01-05 22:56:21,1006.18,226.12,4.45,50.28,0.0838
1000000901,2026-01-05 22:56:21,1063.68,237.62,4.48,50.23,0.0886
1000000902,2026-01-05 22:56:21,839.94,226.08,3.72,50.44,0.07
1000000903,2026-01-05 22:56:21,842.39,232.53,3.62,49.6,0.0702
1000000904,2026-01-05 22:56:21,1094.54,230.17,4.76,50.27,0.0912
1000000905,2026-01-05 22:56:21,1479.24,227.75,6.49,50.08,0.1233
1000000906,2026-01-05 22:56:21,1155.06,230.07,5.02,49.57,0.0963
1000000907,2026-01-05 22:56:21,1168.57,236.51,4.94,50.46,0.0974
1000000908,2026-01-05 22:56:21,1052.53,232.95,4.52,49.9,0.0877
1000000909,2026-01-05 22:56:21,946.83,224.44,4.22,49.86,0.0789
1000000910,2026-01-05 22:56:21,1488.81,227.64,6.54,50.16,0.1241
1000000911,2026-01-05 22:56:21,901.84,227.25,3.97,50.47,0.0752
1000000912,2026-01-05 22:56:21,1467.93,226.55,6.48,49.88,0.1223
1000000913,2026-01-05 22:56:21,1337.1,220.92,6.05,49.8,0.1114
1000000914,2026-01-05 22:56:21,1053.68,226.43,4.65,50.13,0.0878
1000000915,2026-01-05 22:56:21,1160.18,224.57,5.17,49.93,0.0967
1000000916,2026-01-05 22:56:21,1370.46,228.43,6.0,49.79,0.1142
1000000917,2026-01-05 22:56:21,1062.04,226.92,4.68,50.34,0.0885
1000000918,2026-01-05 22:56:21,1381.76,230.36,6.0,50.09,0.1151
1000000919,2026-01-05 22:56:21,951.86,236.27,4.03,49.8,0.0793
1000000920,2026-01-05 22:56:21,861.3,231.46,3.72,49.94,0.0718
1000000921,2026-01-05 22:56:21,1038.99,223.87,4.64,49.87,0.0866
1000000922,2026-01-05 22:56:21,1029.7,233.71,4.41,50.12,0.0858
1000000923,2026-01-05 22:56:21,1423.06,233.06,6.11,50.5,0.1186
1000000924,2026-01-05 22:56:21,1160.68,221.66,5.24,50.41,0.0967
1000000925,2026-01-05 22:56:21,1490.97,236.18,6.31,50.46,0.1242
1000000926,2026-01-05 22:56:21,868.44,226.74,3.83,49.87,0.0724
1000000927,2026-01-05 22:56:21,1168.12,239.12,4.89,49.81,0.0973
1000000928,2026-01-05 22:56:21,974.62,223.22,4.37,50.24,0.0812
1000000929,2026-01-05 22:56:21,972.96,224.03,4.34,49.66,0.0811
1000000930,2026-01-05 22:56:21,953.71,226.33,4.21,49.7,0.0795
1000000931,2026-01-05 22:56:21,1461.23,221.41,6.6,49.81,0.1218
1000000932,2026-01-05 22:56:21,1314.74,222.14,5.92,49.89,0.1096
1000000933,2026-01-05 22:56:21,912.42,223.99,4.07,50.05,0.076
1000000934,2026-01-05 22:56:21,902.41,233.6,3.86,50.34,0.0752
1000000935,2026-01-05 22:56:21,1444.79,234.72,6.16,49.89,0.1204
1000000936,2026-01-05 22:56:21,1366.17,233.42,5.85,49.93,0.1138
1000000937,2026-01-05 22:56:21,1356.42,230.68,5.88,49.89,0.113
1000000938,2026-01-05 22:56:21,1196.34,236.84,5.05,49.61,0.0997
1000000939,2026-01-05 22:56:21,1493.22,229.83,6.5,49.64,0.1244
1000000940,2026-01-05 22:56:21,1258.13,225.25,5.59,49.66,0.1048
1000000941,2026-01-05 22:56:21,1183.95,221.92,5.33,50.11,0.0987
1000000942,2026-01-05 22:56:21,959.89,228.79,4.2,49.59,0.08
1000000943,2026-01-05 22:56:21,1173.02,228.83,5.13,49.92,0.0978
1000000944,2026-01-05 22:56:21,1093.6,233.73,4.68,50.39,0.0911
1000000945,2026-01-05 22:56:21,1308.79,232.46,5.63,49.88,0.1091
1000000946,2026-01-05 22:56:21,888.4,234.32,3.79,50.39,0.074
1000000947,2026-01-05 22:56:21,1458.97,227.25,6.42,49.68,0.1216
1000000948,2026-01-05 22:56:21,1176.9,229.72,5.12,49.63,0.0981
1000000949,2026-01-05 22:56:21,1450.97,234.56,6.19,50.43,0.1209
1000000950,2026-01-05 22:56:21,1384.5,232.5,5.95,49.65,0.1154
1000000951,2026-01-05 22:56:21,806.57,237.59,3.39,50.04,0.0672
1000000952,2026-01-05 22:56:21,804.1,221.48,3.63,50.01,0.067
1000000953,2026-01-05 22:56:21,1156.92,230.54,5.02,49.79,0.0964
1000000954,2026-01-05 22:56:21,1392.76,220.36,6.32,50.11,0.1161
1000000955,2026-01-05 22:56:21,1212.35,221.24,5.48,49.99,0.101
1000000956,2026-01-05 22:56:21,950.66,235.23,4.04,50.35,0.0792
1000000957,2026-01-05 22:56:21,1037.21,227.15,4.57,50.33,0.0864
1000000958,2026-01-05 22:56:21,1187.17,232.54,5.11,49.56,0.0989
1000000959,2026-01-05 22:56:21,1000.16,228.56,4.38,50.43,0.0833
1000000960,2026-01-05 22:56:21,1125.85,239.25,4.71,50.2,0.0938
1000000961,2026-01-05 22:56:21,883.78,230.32,3.84,49.83,0.0736
1000000962,2026-01-05 22:56:21,1424.42,226.56,6.29,50.32,0.1187
1000000963,2026-01-05 22:56:21,999.63,223.6,4.47,49.88,0.0833
1000000964,2026-01-05 22:56:21,1493.66,223.22,6.69,49.84,0.1245
1000000965,2026-01-05 22:56:21,1087.87,239.46,4.54,50.45,0.0907
1000000966,2026-01-05 22:56:21,1059.75,229.04,4.63,49.55,0.0883
1000000967,2026-01-05 22:56:21,1002.98,221.72,4.52,50.36,0.0836
1000000968,2026-01-05 22:56:21,977.77,230.71,4.24,50.05,0.0815
1000000969,2026-01-05 22:56:21,865.08,230.31,3.76,49.53,0.0721
1000000970,2026-01-05 22:56:21,1155.86,228.91,5.05,49.55,0.0963
1000000971,2026-01-05 22:56:21,1431.77,225.99,6.34,49.87,0.1193
1000000972,2026-01-05 22:56:21,927.43,237.37,3.91,49.57,0.0773
1000000973,2026-01-05 22:56:21,864.56,238.78,3.62,50.19,0.072
1000000974,2026-01-05 22:56:21,1435.87,222.93,6.44,49.62,0.1197
1000000975,2026-01-05 22:56:21,1103.29,224.63,4.91,49.59,0.0919
1000000976,2026-01-05 22:56:21,1034.03,233.33,4.43,50.31,0.0862
1000000977,2026-01-05 22:56:21,1428.08,232.07,6.15,49.83,0.119
1000000978,2026-01-05 22:56:21,955.56,227.75,4.2,50.09,0.0796
1000000979,2026-01-05 22:56:21,840.58,223.53,3.76,50.39,0.07
1000000980,2026-01-05 22:56:21,836.01,226.61,3.69,49.97,0.0697
1000000981,2026-01-05 22:56:21,1081.33,222.07,4.87,49.93,0.0901
1000000982,2026-01-05 22:56:21,985.51,223.83,4.4,50.39,0.0821
1000000983,2026-01-05 22:56:21,1378.28,230.57,5.98,49.74,0.1149
1000000984,2026-01-05 22:56:21,1288.28,221.25,5.82,49.86,0.1074
1000000985,2026-01-05 22:56:21,962.77,231.63,4.16,50.12,0.0802
1000000986,2026-01-05 22:56:21,1069.71,230.48,4.64,49.99,0.0891
1000000987,2026-01-05 22:56:21,881.55,232.88,3.79,49.77,0.0735
1000000988,2026-01-05 22:56:21,1147.29,232.46,4.94,49.8,0.0956
1000000989,2026-01-05 22:56:21,1449.09,233.75,6.2,49.98,0.1208
1000000990,2026-01-05 22:56:21,1024.5,237.98,4.3,49.91,0.0854
1000000991,2026-01-05 22:56:21,1428.01,232.45,6.14,50.46,0.119
1000000992,2026-01-05 22:56:21,1312.36,232.6,5.64,50.18,0.1094
1000000993,2026-01-05 22:56:21,1249.73,228.5,5.47,49.63,0.1041
1000000994,2026-01-05 22:56:21,1364.87,221.51,6.16,50.15,0.1137
1000000995,2026-01-05 22:56:21,1384.25,222.74,6.21,49.51,0.1154
1000000996,2026-01-05 22:56:21,883.88,236.94,3.73,50.16,0.0737
1000000997,2026-01-05 22:56:21,1304.91,232.89,5.6,49.53,0.1087
1000000998,2026-01-05 22:56:21,1201.96,234.89,5.12,50.27,0.1002
1000000999,2026-01-05 22:56:21,1031.22,228.6,4.51,50.13,0.0859
1000001000,2026-01-05 22:56:21,1342.67,234.75,5.72,49.98,0.1119
1000001001,2026-01-05 22:56:21,1322.32,230.96,5.73,50.3,0.1102
1000001002,2026-01-05 22:56:21,1293.12,223.39,5.79,50.06,0.1078
1000001003,2026-01-05 22:56:21,901.53,228.22,3.95,50.09,0.0751
1000001004,2026-01-05 22:56:21,853.2,221.9,3.85,49.77,0.0711
1000001005,2026-01-05 22:56:21,1380.85,224.08,6.16,49.75,0.1151
1000001006,2026-01-05 22:56:21,961.21,224.19,4.29,50.31,0.0801
1000001007,2026-01-05 22:56:21,881.92,234.17,3.77,49.81,0.0735
1000001008,2026-01-05 22:56:21,1025.16,227.53,4.51,49.82,0.0854
1000001009,2026-01-05 22:56:21,868.45,228.06,3.81,49.85,0.0724
1000001010,2026-01-05 22:56:21,1113.01,235.88,4.72,50.45,0.0928
1000001011,2026-01-05 22:56:21,858.98,237.37,3.62,50.2,0.0716
1000001012,2026-01-05 22:56:21,846.4,226.95,3.73,50.38,0.0705
1000001013,2026-01-05 22:56:21,1449.55,227.87,6.36,50.35,0.1208
1000001014,2026-01-05 22:56:21,1207.63,229.68,5.26,49.68,0.1006
1000001015,2026-01-05 22:56:21,829.32,234.56,3.54,49.74,0.0691
1000001016,2026-01-05 22:56:21,1208.27,223.51,5.41,50.2,0.1007
1000001017,2026-01-05 22:56:21,1018.13,220.38,4.62,49.95,0.0848
1000001018,2026-01-05 22:56:21,850.52,221.66,3.84,49.59,0.0709
1000001019,2026-01-05 22:56:21,815.09,224.68,3.63,49.52,0.0679
1000001020,2026-01-05 22:56:21,1154.69,227.37,5.08,50.07,0.0962
1000001021,2026-01-05 22:56:21,1240.56,239.29,5.18,49.55,0.1034
1000001022,2026-01-05 22:56:21,1364.44,236.03,5.78,50.2,0.1137
1000001023,2026-01-05 22:56:21,994.16,234.52,4.24,49.91,0.0828
1000001024,2026-01-05 22:56:21,1107.62,223.88,4.95,50.05,0.0923
1000001025,2026-01-05 22:56:21,1242.65,232.95,5.33,49.69,0.1036
1000001026,2026-01-05 22:56:21,1483.28,233.19,6.36,50.27,0.1236
1000001027,2026-01-05 22:56:21,1149.05,236.23,4.86,49.52,0.0958
1000001028,2026-01-05 22:56:21,1254.34,229.0,5.48,50.37,0.1045
1000001029,2026-01-05 22:56:21,1131.26,236.03,4.79,49.72,0.0943
1000001030,2026-01-05 22:56:21,1152.16,237.14,4.86,50.49,0.096
1000001031,2026-01-05 22:56:21,1068.95,226.82,4.71,50.33,0.0891
1000001032,2026-01-05 22:56:21,1082.37,225.06,4.81,50.29,0.0902
1000001033,2026-01-05 22:56:21,1456.48,231.55,6.29,49.98,0.1214
1000001034,2026-01-05 22:56:21,1296.98,227.58,5.7,49.83,0.1081
1000001035,2026-01-05 22:56:21,1125.73,236.36,4.76,49.93,0.0938
1000001036,2026-01-05 22:56:21,1481.16,236.23,6.27,49.74,0.1234
1000001037,2026-01-05 22:56:21,1433.21,238.31,6.01,50.25,0.1194
1000001038,2026-01-05 22:56:21,1021.38,237.02,4.31,49.71,0.0851
1000001039,2026-01-05 22:56:21,1190.43,221.29,5.38,50.29,0.0992
1000001040,2026-01-05 22:56:21,1254.64,237.49,5.28,49.51,0.1046
1000001041,2026-01-05 22:56:21,1349.56,227.57,5.93,50.33,0.1125
1000000000,2026-01-05 23:01:21,1236.58,228.01,5.42,49.87,0.103
1000000001,2026-01-05 23:01:21,1236.74,221.1,5.59,50.25,0.1031
1000000002,2026-01-05 23:01:21,1058.49,229.95,4.6,50.37,0.0882
1000000003,2026-01-05 23:01:21,889.3,237.28,3.75,50.13,0.0741
1000000004,2026-01-05 23:01:21,1419.2,226.81,6.26,50.31,0.1183
1000000005,2026-01-05 23:01:21,999.28,230.43,4.34,50.08,0.0833
1000000006,2026-01-05 23:01:21,1280.33,220.57,5.8,49.83,0.1067
1000000007,2026-01-05 23:01:21,1294.59,237.18,5.46,49.98,0.1079
1000000008,2026-01-05 23:01:21,992.4,229.21,4.33,49.97,0.0827
1000000009,2026-01-05 23:01:21,973.66,232.07,4.2,49.82,0.0811
1000000010,2026-01-05 23:01:21,1279.51,227.91,5.61,50.1,0.1066
1000000011,2026-01-05 23:01:21,873.89,237.25,3.68,50.37,0.0728
1000000012,2026-01-05 23:01:21,1033.5,222.48,4.65,50.39,0.0861
1000000013,2026-01-05 23:01:21,1157.14,230.33,5.02,49.86,0.0964
1000000014,2026-01-05 23:01:21,1349.03,225.62,5.98,50.34,0.1124
1000000015,2026-01-05 23:01:21,812.24,220.94,3.68,49.64,0.0677
1000000016,2026-01-05 23:01:21,824.63,222.83,3.7,50.42,0.0687
1000000017,2026-01-05 23:01:21,830.77,230.2,3.61,49.9,0.0692
1000000018,2026-01-05 23:01:21,1337.83,239.77,5.58,49.72,0.1115
1000000019,2026-01-05 23:01:21,1282.8,233.27,5.5,49.83,0.1069
1000000020,2026-01-05 23:01:21,1160.95,229.3,5.06,49.88,0.0967
1000000021,2026-01-05 23:01:21,1462.31,224.76,6.51,49.58,0.1219
1000000022,2026-01-05 23:01:21,978.99,235.68,4.15,50.32,0.0816
1000000023,2026-01-05 23:01:21,1038.28,222.05,4.68,50.35,0.0865
1000000024,2026-01-05 23:01:21,939.78,236.67,3.97,49.94,0.0783
1000000025,2026-01-05 23:01:21,1166.12,230.64,5.06,49.72,0.0972
1000000026,2026-01-05 23:01:21,1317.92,234.69,5.62,49.83,0.1098
1000000027,2026-01-05 23:01:21,1287.27,237.23,5.43,49.7,0.1073
1000000028,2026-01-05 23:01:21,1414.43,221.42,6.39,50.01,0.1179
1000000029,2026-01-05 23:01:21,1458.07,235.9,6.18,49.91,0.1215
1000000030,2026-01-05 23:01:21,1247.3,234.47,5.32,50.37,0.1039
1000000031,2026-01-05 23:01:21,990.75,236.87,4.18,50.23,0.0826
1000000032,2026-01-05 23:01:21,1456.21,230.88,6.31,50.16,0.1214
1000000033,2026-01-05 23:01:21,947.08,237.77,3.98,50.24,0.0789
1000000034,2026-01-05 23:01:21,1014.1,226.36,4.48,50.33,0.0845
1000000035,2026-01-05 23:01:21,1308.29,226.0,5.79,49.7,0.109
1000000036,2026-01-05 23:01:21,1391.3,238.02,5.85,49.91,0.1159
1000000037,2026-01-05 23:01:21,1080.6,224.08,4.82,50.29,0.09
1000000038,2026-01-05 23:01:21,1222.36,224.85,5.44,49.74,0.1019
1000000039,2026-01-05 23:01:21,1052.53,228.32,4.61,49.76,0.0877
1000000040,2026-01-05 23:01:21,1304.2,227.0,5.75,50.39,0.1087
1000000041,2026-01-05 23:01:21,1240.77,231.53,5.36,49.62,0.1034
1000000042,2026-01-05 23:01:21,1099.15,221.07,4.97,50.09,0.0916
1000000043,2026-01-05 23:01:21,1448.48,224.25,6.46,49.98,0.1207
1000000044,2026-01-05 23:01:21,1086.29,238.64,4.55,50.1,0.0905
1000000045,2026-01-05 23:01:21,1442.64,236.24,6.11,50.19,0.1202
1000000046,2026-01-05 23:01:21,967.92,234.69,4.12,50.18,0.0807
1000000047,2026-01-05 23:01:21,1114.89,233.68,4.77,50.44,0.0929
1000000048,2026-01-05 23:01:21,1254.75,238.05,5.27,50.06,0.1046
1000000049,2026-01-05 23:01:21,1492.96,232.54,6.42,50.29,0.1244
1000000050,2026-01-05 23:01:21,1189.41,226.2,5.26,50.27,0.0991
1000000051,2026-01-05 23:01:21,882.55,235.91,3.74,50.32,0.0735
1000000052,2026-01-05 23:01:21,1379.99,223.45,6.18,50.1,0.115
1000000053,2026-01-05 23:01:21,1154.3,230.04,5.02,50.46,0.0962
1000000054,2026-01-05 23:01:21,1418.7,232.91,6.09,50.14,0.1182
1000000055,2026-01-05 23:01:21,1346.58,232.62,5.79,49.93,0.1122
1000000056,2026-01-05 23:01:21,931.31,239.54,3.89,49.74,0.0776
1000000057,2026-01-05 23:01:21,1071.56,237.77,4.51,49.89,0.0893
1000000058,2026-01-05 23:01:21,999.08,225.68,4.43,50.33,0.0833
1000000059,2026-01-05 23:01:21,1273.04,236.84,5.38,49.88,0.1061
1000000060,2026-01-05 23:01:21,802.67,223.18,3.6,50.0,0.0669
1000000061,2026-01-05 23:01:21,1378.01,230.81,5.97,50.4,0.1148
1000000062,2026-01-05 23:01:21,1061.19,233.03,4.55,49.74,0.0884
1000000063,2026-01-05 23:01:21,1100.78,228.61,4.82,49.65,0.0917
1000000064,2026-01-05 23:01:21,1413.1,223.55,6.32,50.06,0.1178
1000000065,2026-01-05 23:01:21,987.7,221.36,4.46,50.42,0.0823
1000000066,2026-01-05 23:01:21,1160.19,220.9,5.25,49.9,0.0967
1000000067,2026-01-05 23:01:21,1394.87,236.49,5.9,50.21,0.1162
1000000068,2026-01-05 23:01:21,1445.98,231.67,6.24,49.99,0.1205
1000000069,2026-01-05 23:01:21,1082.14,231.35,4.68,50.27,0.0902
1000000070,2026-01-05 23:01:21,1345.09,231.05,5.82,49.77,0.1121
1000000071,2026-01-05 23:01:21,816.2,235.39,3.47,50.32,0.068
1000000072,2026-01-05 23:01:21,998.29,221.12,4.51,49.52,0.0832
1000000073,2026-01-05 23:01:21,1109.98,223.87,4.96,49.86,0.0925
1000000074,2026-01-05 23:01:21,849.9,235.63,3.61,50.44,0.0708
1000000075,2026-01-05 23:01:21,919.51,232.54,3.95,50.47,0.0766
1000000076,2026-01-05 23:01:21,1121.15,221.46,5.06,50.41,0.0934
1000000077,2026-01-05 23:01:21,1257.93,238.07,5.28,49.63,0.1048
1000000078,2026-01-05 23:01:21,1176.8,223.7,5.26,49.6,0.0981
1000000079,2026-01-05 23:01:21,1392.96,233.49,5.97,50.11,0.1161
1000000080,2026-01-05 23:01:21,1060.22,230.99,4.59,49.98,0.0884
1000000081,2026-01-05 23:01:21,1341.75,230.23,5.83,50.36,0.1118
1000000082,2026-01-05 23:01:21,1412.55,232.31,6.08,50.02,0.1177
1000000083,2026-01-05 23:01:21,808.57,225.59,3.58,50.22,0.0674
1000000084,2026-01-05 23:01:21,1128.13,230.86,4.89,50.38,0.094
1000000085,2026-01-05 23:01:21,1161.76,231.67,5.01,49.6,0.0968
1000000086,2026-01-05 23:01:21,1314.73,227.53,5.78,50.36,0.1096
1000000087,2026-01-05 23:01:21,1142.98,232.81,4.91,50.35,0.0952
1000000088,2026-01-05 23:01:21,912.71,228.94,3.99,50.17,0.0761
1000000089,2026-01-05 23:01:21,1361.57,229.53,5.93,50.19,0.1135
1000000090,2026-01-05 23:01:21,951.88,231.16,4.12,49.93,0.0793
1000000091,2026-01-05 23:01:21,1472.63,238.3,6.18,49.91,0.1227
1000000092,2026-01-05 23:01:21,1303.79,233.57,5.58,50.48,0.1086
1000000093,2026-01-05 23:01:21,1146.52,230.09,4.98,50.4,0.0955
1000000094,2026-01-05 23:01:21,1183.75,228.31,5.18,49.75,0.0986
1000000095,2026-01-05 23:01:21,1244.3,226.42,5.5,49.66,0.1037
1000000096,2026-01-05 23:01:21,1440.5,225.47,6.39,50.32,0.12
1000000097,2026-01-05 23:01:21,996.14,223.16,4.46,50.38,0.083
1000000098,2026-01-05 23:01:21,976.12,229.96,4.24,49.71,0.0813
1000000099,2026-01-05 23:01:21,1207.12,221.96,5.44,50.0,0.1006
1000000100,2026-01-05 23:01:21,1327.28,235.22,5.64,50.07,0.1106
1000000101,2026-01-05 23:01:21,1280.79,233.62,5.48,50.42,0.1067
1000000102,2026-01-05 23:01:21,1474.35,236.96,6.22,50.48,0.1229
1000000103,2026-01-05 23:01:21,1438.6,220.48,6.52,50.45,0.1199
1000000104,2026-01-05 23:01:21,1383.34,222.72,6.21,50.36,0.1153
1000000105,2026-01-05 23:01:21,1335.55,225.32,5.93,50.31,0.1113
1000000106,2026-01-05 23:01:21,817.75,229.97,3.56,49.72,0.0681
1000000107,2026-01-05 23:01:21,942.1,228.49,4.12,49.76,0.0785
1000000108,2026-01-05 23:01:21,852.2,231.94,3.67,49.91,0.071
1000000109,2026-01-05 23:01:21,816.06,228.81,3.57,50.43,0.068
1000000110,2026-01-05 23:01:21,1349.99,230.68,5.85,50.03,0.1125
1000000111,2026-01-05 23:01:21,1219.6,232.88,5.24,50.37,0.1016
1000000112,2026-01-05 23:01:21,1216.78,221.44,5.49,49.57,0.1014
1000000113,2026-01-05 23:01:21,1485.13,237.58,6.25,50.29,0.1238
